Food,Categories
asparagus,fresh produce (vegetables and herbs)
avocados,fresh produce (vegetables and herbs)
bananas,fresh produce (fruit)
bagels,"breads, grains, pasta, rice and pastries"
berries,fresh produce (fruit)
brocolli,fresh produce (vegetables and herbs)
brown rice,"breads, grains, pasta, rice and pastries"
cauliflower,fresh produce (vegetables and herbs)
american cheese,"dairy, eggs and cheese products"
coffee,beverages
corn,fresh produce (vegetables and herbs)
dark chocolate,sweet and savoury snacks and treats
grapes,fresh produce (fruit)
milk,"dairy, eggs and cheese products"
cashew nuts,sweet and savoury snacks and treats
onions,fresh produce (vegetables and herbs)
orange,fresh produce (fruit)
pasta  with tomato sauce,"pantry- dry, canned and jarred goods"
pears,fresh produce (fruit)
peas,fresh produce (vegetables and herbs)
protein powder,"pantry- dry, canned and jarred goods"
pumpkin,fresh produce (vegetables and herbs)
tuna salad,"meat, poultry and seafood"
tuna fish,"meat, poultry and seafood"
pepperoni pizza,"ready meals, sandwiches, soups and misc."
cheese pizza,"ready meals, sandwiches, soups and misc."
french fries,"ready meals, sandwiches, soups and misc."
chicken burger,"ready meals, sandwiches, soups and misc."
cheese burger,"ready meals, sandwiches, soups and misc."
chicken,"meat, poultry and seafood"
sugar doughnuts,"ready meals, sandwiches, soups and misc."
chocolate doughnuts,"ready meals, sandwiches, soups and misc."
pop corn,sweet and savoury snacks and treats
dosa,"ready meals, sandwiches, soups and misc."
idli,"ready meals, sandwiches, soups and misc."
poha,"breads, grains, pasta, rice and pastries"
chappati,"breads, grains, pasta, rice and pastries"
tomato,fresh produce (fruit)
yogurt,"dairy, eggs and cheese products"
brownie,sweet and savoury snacks and treats
noodles,"breads, grains, pasta, rice and pastries"
uttapam,"ready meals, sandwiches, soups and misc."
bhaji pav,"ready meals, sandwiches, soups and misc."
dal makhani,"ready meals, sandwiches, soups and misc."
almonds,sweet and savoury snacks and treats
mushrooms,fresh produce (vegetables and herbs)
eggs,"dairy, eggs and cheese products"
sweet potatoes,fresh produce (vegetables and herbs)
potatoes,fresh produce (vegetables and herbs)
white rice,"breads, grains, pasta, rice and pastries"
orange juice,beverages
greek yogurt plain,"dairy, eggs and cheese products"
oat bran,"breads, grains, pasta, rice and pastries"
green tea,beverages
chia seeds,"breads, grains, pasta, rice and pastries"
cottage cheese with vegetables,"dairy, eggs and cheese products"
salmon,"meat, poultry and seafood"
cereals-corn flakes,"breads, grains, pasta, rice and pastries"
beans,"pantry- dry, canned and jarred goods"
lentils,"pantry- dry, canned and jarred goods"
tea,beverages
